UNetCond params: 1.44M, lam=0.3143 (flow matching)
/mnt/home/tersenov/software/tilt-audit/tilt_audit/fields.py:89: UserWarning: Explicitly requested dtype complex128 requested in zeros is not available, and will be truncated to dtype complex64. To enable more dtypes, set the jax_enable_x64 configuration option or the JAX_ENABLE_X64 shell environment variable. See https://github.com/jax-ml/jax#current-gotchas for more.
  Xf = jnp.zeros((*z.shape[:-1], n * n), dtype=jnp.complex128)
/mnt/home/tersenov/software/tilt-audit/.venv/lib/python3.12/site-packages/jax/_src/numpy/array_methods.py:125: UserWarning: Explicitly requested dtype complex128 requested in astype is not available, and will be truncated to dtype complex64. To enable more dtypes, set the jax_enable_x64 configuration option or the JAX_ENABLE_X64 shell environment variable. See https://github.com/jax-ml/jax#current-gotchas for more.
  return lax_numpy.astype(self, dtype, copy=copy, device=device)
E0705 10:21:50.609413  183673 cuda_timer.cc:88] Delay kernel timed out: measured time has sub-optimal accuracy. There may be a missing warmup execution, please investigate in Nsight Systems.
step 0 loss 7.21865 (16s)
step 500 loss 0.33144 (29s)
step 1000 loss 0.22457 (41s)
step 1500 loss 0.22732 (54s)
step 2000 loss 0.21946 (66s)
step 2500 loss 0.21071 (79s)
step 3000 loss 0.28524 (91s)
step 3500 loss 0.23891 (104s)
step 4000 loss 0.20362 (116s)
step 4500 loss 0.22416 (129s)
step 5000 loss 0.18766 (141s)
step 5500 loss 0.19505 (154s)
step 6000 loss 0.23880 (167s)
step 6500 loss 0.21050 (179s)
step 7000 loss 0.23509 (192s)
step 7500 loss 0.20977 (204s)
step 8000 loss 0.23245 (217s)
step 8500 loss 0.28135 (229s)
step 9000 loss 0.23719 (242s)
step 9500 loss 0.20104 (254s)
step 10000 loss 0.18270 (267s)
step 10500 loss 0.19852 (279s)
step 11000 loss 0.21348 (292s)
step 11500 loss 0.21939 (304s)
step 12000 loss 0.21983 (317s)
step 12500 loss 0.19453 (329s)
step 13000 loss 0.19860 (342s)
step 13500 loss 0.22066 (354s)
step 14000 loss 0.20118 (367s)
step 14500 loss 0.22479 (379s)
step 15000 loss 0.21979 (392s)
