UNet params: 1.44M, eps=0.0, lam=0.3143
/mnt/home/tersenov/software/tilt-audit/tilt_audit/fields.py:89: UserWarning: Explicitly requested dtype complex128 requested in zeros is not available, and will be truncated to dtype complex64. To enable more dtypes, set the jax_enable_x64 configuration option or the JAX_ENABLE_X64 shell environment variable. See https://github.com/jax-ml/jax#current-gotchas for more.
  Xf = jnp.zeros((*z.shape[:-1], n * n), dtype=jnp.complex128)
/mnt/home/tersenov/software/tilt-audit/.venv/lib/python3.12/site-packages/jax/_src/numpy/array_methods.py:125: UserWarning: Explicitly requested dtype complex128 requested in astype is not available, and will be truncated to dtype complex64. To enable more dtypes, set the jax_enable_x64 configuration option or the JAX_ENABLE_X64 shell environment variable. See https://github.com/jax-ml/jax#current-gotchas for more.
  return lax_numpy.astype(self, dtype, copy=copy, device=device)
E0704 23:33:59.503933 2177741 cuda_timer.cc:88] Delay kernel timed out: measured time has sub-optimal accuracy. There may be a missing warmup execution, please investigate in Nsight Systems.
E0704 23:33:59.784354 2177741 cuda_timer.cc:88] Delay kernel timed out: measured time has sub-optimal accuracy. There may be a missing warmup execution, please investigate in Nsight Systems.
step 0 loss 4.40072 (16s)
step 500 loss 0.10141 (28s)
step 1000 loss 0.09106 (41s)
step 1500 loss 0.09331 (53s)
step 2000 loss 0.11131 (66s)
step 2500 loss 0.07859 (78s)
step 3000 loss 0.08148 (91s)
step 3500 loss 0.09819 (103s)
step 4000 loss 0.08145 (116s)
step 4500 loss 0.09797 (128s)
step 5000 loss 0.07637 (141s)
step 5500 loss 0.07259 (153s)
step 6000 loss 0.06953 (166s)
step 6500 loss 0.06942 (178s)
step 7000 loss 0.09002 (191s)
step 7500 loss 0.08413 (203s)
step 8000 loss 0.10116 (216s)
step 8500 loss 0.07729 (228s)
step 9000 loss 0.08737 (241s)
step 9500 loss 0.07678 (253s)
step 10000 loss 0.08146 (266s)
step 10500 loss 0.06932 (278s)
step 11000 loss 0.06670 (291s)
step 11500 loss 0.08028 (303s)
step 12000 loss 0.08055 (316s)
step 12500 loss 0.05891 (328s)
step 13000 loss 0.09066 (340s)
step 13500 loss 0.05659 (353s)
step 14000 loss 0.10115 (365s)
step 14500 loss 0.08787 (378s)
step 15000 loss 0.08025 (390s)
step 15500 loss 0.07860 (403s)
step 16000 loss 0.08228 (415s)
step 16500 loss 0.06916 (428s)
step 17000 loss 0.08363 (440s)
step 17500 loss 0.09152 (453s)
step 18000 loss 0.09677 (465s)
step 18500 loss 0.09333 (478s)
step 19000 loss 0.07189 (490s)
step 19500 loss 0.08128 (503s)
step 20000 loss 0.07860 (515s)
step 20500 loss 0.07240 (528s)
step 21000 loss 0.08200 (540s)
step 21500 loss 0.07473 (553s)
step 22000 loss 0.08390 (565s)
step 22500 loss 0.08179 (578s)
step 23000 loss 0.08755 (590s)
step 23500 loss 0.07884 (602s)
step 24000 loss 0.08614 (615s)
step 24500 loss 0.08539 (627s)
step 25000 loss 0.07462 (640s)
step 25500 loss 0.08906 (652s)
step 26000 loss 0.07381 (665s)
step 26500 loss 0.08899 (677s)
step 27000 loss 0.06076 (690s)
step 27500 loss 0.08204 (702s)
step 28000 loss 0.07197 (715s)
step 28500 loss 0.09329 (727s)
step 29000 loss 0.08646 (740s)
step 29500 loss 0.06687 (752s)
step 30000 loss 0.08904 (765s)
step 30500 loss 0.08648 (777s)
step 31000 loss 0.06249 (790s)
step 31500 loss 0.08856 (802s)
step 32000 loss 0.06185 (815s)
step 32500 loss 0.07229 (827s)
step 33000 loss 0.07559 (840s)
step 33500 loss 0.09442 (852s)
step 34000 loss 0.07722 (865s)
step 34500 loss 0.08335 (877s)
step 35000 loss 0.07725 (890s)
step 35500 loss 0.07158 (902s)
step 36000 loss 0.07703 (915s)
step 36500 loss 0.09233 (927s)
step 37000 loss 0.09163 (939s)
step 37500 loss 0.06275 (952s)
step 38000 loss 0.07185 (964s)
step 38500 loss 0.08932 (977s)
step 39000 loss 0.08076 (989s)
step 39500 loss 0.08555 (1002s)
step 40000 loss 0.07771 (1014s)
step 40500 loss 0.08223 (1027s)
step 41000 loss 0.06201 (1039s)
step 41500 loss 0.06845 (1052s)
step 42000 loss 0.06878 (1064s)
step 42500 loss 0.08455 (1077s)
step 43000 loss 0.09022 (1089s)
step 43500 loss 0.07642 (1102s)
step 44000 loss 0.06127 (1114s)
step 44500 loss 0.06678 (1127s)
step 45000 loss 0.09085 (1139s)
step 45500 loss 0.07394 (1152s)
step 46000 loss 0.09609 (1164s)
step 46500 loss 0.08866 (1177s)
step 47000 loss 0.06521 (1189s)
step 47500 loss 0.09210 (1202s)
step 48000 loss 0.08612 (1214s)
step 48500 loss 0.07057 (1227s)
step 49000 loss 0.07338 (1239s)
step 49500 loss 0.07655 (1251s)
step 50000 loss 0.07672 (1264s)
step 50500 loss 0.07624 (1276s)
step 51000 loss 0.07168 (1289s)
step 51500 loss 0.09960 (1301s)
step 52000 loss 0.08036 (1314s)
step 52500 loss 0.08126 (1326s)
