UNet params: 1.44M, eps=-0.3, lam=0.3143
/mnt/home/tersenov/software/tilt-audit/tilt_audit/fields.py:89: UserWarning: Explicitly requested dtype complex128 requested in zeros is not available, and will be truncated to dtype complex64. To enable more dtypes, set the jax_enable_x64 configuration option or the JAX_ENABLE_X64 shell environment variable. See https://github.com/jax-ml/jax#current-gotchas for more.
  Xf = jnp.zeros((*z.shape[:-1], n * n), dtype=jnp.complex128)
/mnt/home/tersenov/software/tilt-audit/.venv/lib/python3.12/site-packages/jax/_src/numpy/array_methods.py:125: UserWarning: Explicitly requested dtype complex128 requested in astype is not available, and will be truncated to dtype complex64. To enable more dtypes, set the jax_enable_x64 configuration option or the JAX_ENABLE_X64 shell environment variable. See https://github.com/jax-ml/jax#current-gotchas for more.
  return lax_numpy.astype(self, dtype, copy=copy, device=device)
E0704 23:59:39.807632 2297784 cuda_timer.cc:88] Delay kernel timed out: measured time has sub-optimal accuracy. There may be a missing warmup execution, please investigate in Nsight Systems.
step 0 loss 4.53344 (16s)
step 500 loss 0.09458 (29s)
step 1000 loss 0.08453 (41s)
step 1500 loss 0.08547 (54s)
step 2000 loss 0.10118 (66s)
step 2500 loss 0.07170 (79s)
step 3000 loss 0.07492 (91s)
step 3500 loss 0.08973 (104s)
step 4000 loss 0.07383 (116s)
step 4500 loss 0.08899 (129s)
step 5000 loss 0.06898 (141s)
step 5500 loss 0.06612 (154s)
step 6000 loss 0.06350 (166s)
step 6500 loss 0.06317 (179s)
step 7000 loss 0.08151 (191s)
step 7500 loss 0.07610 (204s)
step 8000 loss 0.09122 (216s)
step 8500 loss 0.06950 (229s)
step 9000 loss 0.07911 (241s)
step 9500 loss 0.07022 (254s)
step 10000 loss 0.07371 (266s)
step 10500 loss 0.06249 (279s)
step 11000 loss 0.06088 (291s)
step 11500 loss 0.07274 (304s)
step 12000 loss 0.07323 (316s)
step 12500 loss 0.05355 (329s)
step 13000 loss 0.08191 (341s)
step 13500 loss 0.05189 (354s)
step 14000 loss 0.09054 (366s)
step 14500 loss 0.07959 (379s)
step 15000 loss 0.07231 (391s)
step 15500 loss 0.07120 (404s)
step 16000 loss 0.07438 (416s)
step 16500 loss 0.06279 (429s)
step 17000 loss 0.07541 (441s)
step 17500 loss 0.08216 (453s)
step 18000 loss 0.08700 (466s)
step 18500 loss 0.08439 (478s)
step 19000 loss 0.06540 (491s)
step 19500 loss 0.07321 (503s)
step 20000 loss 0.07075 (516s)
step 20500 loss 0.06538 (528s)
step 21000 loss 0.07432 (541s)
step 21500 loss 0.06792 (553s)
step 22000 loss 0.07613 (566s)
step 22500 loss 0.07405 (578s)
step 23000 loss 0.07941 (591s)
step 23500 loss 0.07082 (603s)
step 24000 loss 0.07763 (616s)
step 24500 loss 0.07727 (628s)
step 25000 loss 0.06725 (641s)
step 25500 loss 0.08014 (654s)
step 26000 loss 0.06665 (666s)
step 26500 loss 0.08069 (679s)
step 27000 loss 0.05518 (691s)
step 27500 loss 0.07415 (704s)
step 28000 loss 0.06556 (716s)
step 28500 loss 0.08341 (729s)
step 29000 loss 0.07791 (741s)
step 29500 loss 0.06019 (754s)
step 30000 loss 0.08052 (766s)
step 30500 loss 0.07851 (779s)
step 31000 loss 0.05698 (791s)
step 31500 loss 0.07996 (804s)
step 32000 loss 0.05615 (816s)
step 32500 loss 0.06530 (829s)
step 33000 loss 0.06834 (841s)
step 33500 loss 0.08515 (854s)
step 34000 loss 0.06931 (866s)
step 34500 loss 0.07524 (879s)
step 35000 loss 0.06912 (891s)
step 35500 loss 0.06473 (904s)
step 36000 loss 0.06976 (916s)
step 36500 loss 0.08264 (929s)
step 37000 loss 0.08258 (941s)
step 37500 loss 0.05742 (954s)
step 38000 loss 0.06488 (966s)
step 38500 loss 0.08025 (979s)
step 39000 loss 0.07312 (991s)
step 39500 loss 0.07695 (1004s)
step 40000 loss 0.07021 (1016s)
step 40500 loss 0.07396 (1029s)
step 41000 loss 0.05654 (1041s)
step 41500 loss 0.06176 (1054s)
step 42000 loss 0.06214 (1066s)
step 42500 loss 0.07609 (1079s)
step 43000 loss 0.08140 (1091s)
step 43500 loss 0.06934 (1104s)
step 44000 loss 0.05581 (1116s)
step 44500 loss 0.06046 (1129s)
step 45000 loss 0.08227 (1141s)
step 45500 loss 0.06716 (1153s)
step 46000 loss 0.08683 (1166s)
step 46500 loss 0.08007 (1178s)
step 47000 loss 0.05921 (1191s)
step 47500 loss 0.08373 (1203s)
step 48000 loss 0.07793 (1216s)
step 48500 loss 0.06375 (1228s)
step 49000 loss 0.06678 (1241s)
step 49500 loss 0.06955 (1253s)
step 50000 loss 0.06932 (1266s)
step 50500 loss 0.06923 (1278s)
step 51000 loss 0.06468 (1291s)
step 51500 loss 0.08949 (1303s)
step 52000 loss 0.07273 (1316s)
step 52500 loss 0.07305 (1328s)
step 53000 loss 0.06758 (1341s)
step 53500 loss 0.07154 (1353s)
step 54000 loss 0.07467 (1366s)
step 54500 loss 0.07469 (1378s)
step 55000 loss 0.07891 (1391s)
step 55500 loss 0.07451 (1403s)
step 56000 loss 0.08075 (1416s)
step 56500 loss 0.08207 (1428s)
step 57000 loss 0.08177 (1441s)
step 57500 loss 0.08157 (1453s)
step 58000 loss 0.08290 (1465s)
step 58500 loss 0.08812 (1478s)
step 59000 loss 0.06206 (1490s)
step 59500 loss 0.07117 (1503s)
done in 25.3 min; final loss 0.06923; saved checkpoints/ln_mis.pkl
