UNet params: 1.44M, eps=0.3, lam=0.3143
/mnt/home/tersenov/software/tilt-audit/tilt_audit/fields.py:89: UserWarning: Explicitly requested dtype complex128 requested in zeros is not available, and will be truncated to dtype complex64. To enable more dtypes, set the jax_enable_x64 configuration option or the JAX_ENABLE_X64 shell environment variable. See https://github.com/jax-ml/jax#current-gotchas for more.
  Xf = jnp.zeros((*z.shape[:-1], n * n), dtype=jnp.complex128)
/mnt/home/tersenov/software/tilt-audit/.venv/lib/python3.12/site-packages/jax/_src/numpy/array_methods.py:125: UserWarning: Explicitly requested dtype complex128 requested in astype is not available, and will be truncated to dtype complex64. To enable more dtypes, set the jax_enable_x64 configuration option or the JAX_ENABLE_X64 shell environment variable. See https://github.com/jax-ml/jax#current-gotchas for more.
  return lax_numpy.astype(self, dtype, copy=copy, device=device)
E0705 00:55:46.589392 2539121 cuda_timer.cc:88] Delay kernel timed out: measured time has sub-optimal accuracy. There may be a missing warmup execution, please investigate in Nsight Systems.
step 0 loss 4.25766 (15s)
step 500 loss 0.11127 (28s)
step 1000 loss 0.09994 (40s)
step 1500 loss 0.10361 (53s)
step 2000 loss 0.12350 (65s)
step 2500 loss 0.08774 (78s)
step 3000 loss 0.09072 (90s)
step 3500 loss 0.11020 (103s)
step 4000 loss 0.09121 (115s)
step 4500 loss 0.10958 (128s)
step 5000 loss 0.08587 (140s)
step 5500 loss 0.08127 (153s)
step 6000 loss 0.07760 (165s)
step 6500 loss 0.07765 (178s)
step 7000 loss 0.10072 (190s)
step 7500 loss 0.09403 (203s)
step 8000 loss 0.11385 (215s)
step 8500 loss 0.08665 (228s)
step 9000 loss 0.09781 (240s)
step 9500 loss 0.08510 (253s)
step 10000 loss 0.09138 (265s)
step 10500 loss 0.07812 (278s)
step 11000 loss 0.07437 (290s)
step 11500 loss 0.08996 (303s)
step 12000 loss 0.08993 (315s)
step 12500 loss 0.06591 (328s)
step 13000 loss 0.10180 (340s)
step 13500 loss 0.06272 (353s)
step 14000 loss 0.11447 (365s)
step 14500 loss 0.09847 (378s)
step 15000 loss 0.09022 (390s)
step 15500 loss 0.08809 (403s)
step 16000 loss 0.09234 (415s)
step 16500 loss 0.07736 (428s)
step 17000 loss 0.09396 (440s)
step 17500 loss 0.10333 (453s)
step 18000 loss 0.10886 (465s)
step 18500 loss 0.10445 (478s)
step 19000 loss 0.08024 (490s)
step 19500 loss 0.09136 (503s)
step 20000 loss 0.08845 (515s)
step 20500 loss 0.08121 (528s)
step 21000 loss 0.09186 (540s)
step 21500 loss 0.08354 (553s)
step 22000 loss 0.09384 (565s)
step 22500 loss 0.09178 (578s)
step 23000 loss 0.09796 (590s)
step 23500 loss 0.08904 (602s)
step 24000 loss 0.09693 (615s)
step 24500 loss 0.09584 (627s)
step 25000 loss 0.08421 (640s)
step 25500 loss 0.10027 (652s)
step 26000 loss 0.08298 (665s)
step 26500 loss 0.09949 (677s)
step 27000 loss 0.06813 (690s)
step 27500 loss 0.09216 (702s)
step 28000 loss 0.08050 (715s)
step 28500 loss 0.10550 (727s)
step 29000 loss 0.09706 (740s)
step 29500 loss 0.07525 (752s)
step 30000 loss 0.10002 (765s)
step 30500 loss 0.09662 (777s)
step 31000 loss 0.06960 (790s)
step 31500 loss 0.09936 (802s)
step 32000 loss 0.06919 (815s)
step 32500 loss 0.08120 (827s)
step 33000 loss 0.08473 (840s)
step 33500 loss 0.10626 (852s)
step 34000 loss 0.08715 (865s)
step 34500 loss 0.09362 (877s)
step 35000 loss 0.08735 (890s)
step 35500 loss 0.08039 (902s)
step 36000 loss 0.08626 (915s)
step 36500 loss 0.10425 (927s)
step 37000 loss 0.10288 (940s)
step 37500 loss 0.06974 (952s)
step 38000 loss 0.08082 (965s)
step 38500 loss 0.10077 (977s)
step 39000 loss 0.09068 (990s)
step 39500 loss 0.09659 (1002s)
step 40000 loss 0.08729 (1015s)
step 40500 loss 0.09269 (1027s)
step 41000 loss 0.06918 (1040s)
step 41500 loss 0.07704 (1052s)
step 42000 loss 0.07727 (1065s)
step 42500 loss 0.09526 (1077s)
step 43000 loss 0.10142 (1090s)
step 43500 loss 0.08549 (1102s)
step 44000 loss 0.06834 (1115s)
step 44500 loss 0.07501 (1127s)
step 45000 loss 0.10201 (1140s)
step 45500 loss 0.08268 (1152s)
step 46000 loss 0.10788 (1165s)
step 46500 loss 0.09959 (1177s)
step 47000 loss 0.07309 (1190s)
step 47500 loss 0.10279 (1202s)
step 48000 loss 0.09670 (1215s)
step 48500 loss 0.07940 (1227s)
step 49000 loss 0.08193 (1240s)
step 49500 loss 0.08565 (1252s)
step 50000 loss 0.08619 (1265s)
step 50500 loss 0.08538 (1277s)
step 51000 loss 0.08076 (1290s)
step 51500 loss 0.11218 (1302s)
step 52000 loss 0.09022 (1315s)
step 52500 loss 0.09176 (1327s)
step 53000 loss 0.08416 (1340s)
step 53500 loss 0.08875 (1352s)
step 54000 loss 0.09200 (1365s)
step 54500 loss 0.09240 (1377s)
step 55000 loss 0.09918 (1390s)
step 55500 loss 0.09285 (1402s)
step 56000 loss 0.10141 (1415s)
step 56500 loss 0.10157 (1427s)
step 57000 loss 0.10018 (1440s)
step 57500 loss 0.10242 (1452s)
step 58000 loss 0.10343 (1465s)
step 58500 loss 0.10928 (1477s)
step 59000 loss 0.07750 (1490s)
step 59500 loss 0.08848 (1502s)
done in 25.2 min; final loss 0.08669; saved checkpoints/ln_mis_p03.pkl
RUNG7 TRAINING DONE 01:21
