[a3:amortized:halfcap] y999 seed=0 oracle: W2=0.947 g*=0.995 meanerr=0.0131 pxvar=0.996 (0.4s)
[a3:amortized:halfcap] y999 seed=0 ancestral: W2=2.083 g*=1.08 meanerr=0.0318 pxvar=0.916 (21.9s)
[a3:amortized:halfcap] y999 seed=1 oracle: W2=0.9303 g*=0.997 meanerr=0.0129 pxvar=1 (0.0s)
[a3:amortized:halfcap] y999 seed=1 ancestral: W2=2.12 g*=1.07 meanerr=0.0324 pxvar=0.92 (18.3s)
[a3:amortized:halfcap] y999 seed=2 oracle: W2=0.953 g*=0.991 meanerr=0.0132 pxvar=1 (0.0s)
[a3:amortized:halfcap] y999 seed=2 ancestral: W2=2.067 g*=1.07 meanerr=0.0315 pxvar=0.921 (19.3s)
[a3:amortized:halfcap] y1000 seed=0 oracle: W2=0.9621 g*=0.999 meanerr=0.014 pxvar=0.998 (0.0s)
[a3:amortized:halfcap] y1000 seed=0 ancestral: W2=2.508 g*=1.08 meanerr=0.0415 pxvar=0.922 (19.6s)
[a3:amortized:halfcap] y1000 seed=1 oracle: W2=0.9412 g*=0.996 meanerr=0.0136 pxvar=0.999 (0.0s)
[a3:amortized:halfcap] y1000 seed=1 ancestral: W2=2.466 g*=1.08 meanerr=0.0408 pxvar=0.924 (19.6s)
[a3:amortized:halfcap] y1000 seed=2 oracle: W2=0.9657 g*=0.999 meanerr=0.0139 pxvar=0.994 (0.0s)
[a3:amortized:halfcap] y1000 seed=2 ancestral: W2=2.442 g*=1.07 meanerr=0.0403 pxvar=0.925 (19.2s)
[a3:amortized:halfcap] y1001 seed=0 oracle: W2=0.932 g*=0.993 meanerr=0.0126 pxvar=0.995 (0.0s)
[a3:amortized:halfcap] y1001 seed=0 ancestral: W2=2.205 g*=1.05 meanerr=0.0331 pxvar=0.922 (18.9s)
[a3:amortized:halfcap] y1001 seed=1 oracle: W2=0.9562 g*=1 meanerr=0.0127 pxvar=0.995 (0.0s)
[a3:amortized:halfcap] y1001 seed=1 ancestral: W2=2.202 g*=1.05 meanerr=0.0331 pxvar=0.922 (18.6s)
[a3:amortized:halfcap] y1001 seed=2 oracle: W2=0.9445 g*=0.999 meanerr=0.0125 pxvar=0.997 (0.0s)
[a3:amortized:halfcap] y1001 seed=2 ancestral: W2=2.173 g*=1.05 meanerr=0.0326 pxvar=0.921 (18.8s)
[a3:amortized:halfcap] y1002 seed=0 oracle: W2=0.9264 g*=1 meanerr=0.0138 pxvar=0.994 (0.0s)
[a3:amortized:halfcap] y1002 seed=0 ancestral: W2=2.526 g*=1.08 meanerr=0.0436 pxvar=0.921 (20.0s)
[a3:amortized:halfcap] y1002 seed=1 oracle: W2=0.9402 g*=0.999 meanerr=0.0143 pxvar=0.997 (0.0s)
[a3:amortized:halfcap] y1002 seed=1 ancestral: W2=2.53 g*=1.08 meanerr=0.044 pxvar=0.924 (18.9s)
[a3:amortized:halfcap] y1002 seed=2 oracle: W2=0.9418 g*=1 meanerr=0.0144 pxvar=0.995 (0.0s)
[a3:amortized:halfcap] y1002 seed=2 ancestral: W2=2.57 g*=1.08 meanerr=0.0444 pxvar=0.921 (19.5s)
[a3:amortized:halfcap] y1003 seed=0 oracle: W2=0.9358 g*=1 meanerr=0.0106 pxvar=0.997 (0.0s)
[a3:amortized:halfcap] y1003 seed=0 ancestral: W2=2.672 g*=1.08 meanerr=0.0348 pxvar=0.92 (20.0s)
[a3:amortized:halfcap] y1003 seed=1 oracle: W2=0.937 g*=1.01 meanerr=0.0105 pxvar=0.996 (0.0s)
[a3:amortized:halfcap] y1003 seed=1 ancestral: W2=2.652 g*=1.07 meanerr=0.0344 pxvar=0.915 (18.1s)
[a3:amortized:halfcap] y1003 seed=2 oracle: W2=0.9452 g*=0.997 meanerr=0.0106 pxvar=0.998 (0.0s)
[a3:amortized:halfcap] y1003 seed=2 ancestral: W2=2.655 g*=1.08 meanerr=0.0344 pxvar=0.911 (18.2s)
