UNetCond params: 0.40M, chs=(16, 32, 64)
/mnt/home/tersenov/software/tilt-audit/tilt_audit/fields.py:89: UserWarning: Explicitly requested dtype complex128 requested in zeros is not available, and will be truncated to dtype complex64. To enable more dtypes, set the jax_enable_x64 configuration option or the JAX_ENABLE_X64 shell environment variable. See https://github.com/jax-ml/jax#current-gotchas for more.
  Xf = jnp.zeros((*z.shape[:-1], n * n), dtype=jnp.complex128)
/mnt/home/tersenov/software/tilt-audit/.venv/lib/python3.12/site-packages/jax/_src/numpy/array_methods.py:125: UserWarning: Explicitly requested dtype complex128 requested in astype is not available, and will be truncated to dtype complex64. To enable more dtypes, set the jax_enable_x64 configuration option or the JAX_ENABLE_X64 shell environment variable. See https://github.com/jax-ml/jax#current-gotchas for more.
  return lax_numpy.astype(self, dtype, copy=copy, device=device)
E0703 22:33:13.370727 1284235 cuda_timer.cc:88] Delay kernel timed out: measured time has sub-optimal accuracy. There may be a missing warmup execution, please investigate in Nsight Systems.
step 0 loss 3.27571 (44s)
step 500 loss 0.17859 (74s)
step 1000 loss 0.08396 (104s)
step 1500 loss 0.07991 (134s)
step 2000 loss 0.07217 (165s)
step 2500 loss 0.06664 (195s)
step 3000 loss 0.10516 (226s)
step 3500 loss 0.07695 (256s)
step 4000 loss 0.05851 (287s)
step 4500 loss 0.07004 (318s)
step 5000 loss 0.05162 (348s)
step 5500 loss 0.05381 (379s)
step 6000 loss 0.07729 (410s)
step 6500 loss 0.06380 (441s)
step 7000 loss 0.07316 (471s)
step 7500 loss 0.05981 (502s)
step 8000 loss 0.07295 (533s)
step 8500 loss 0.09992 (564s)
step 9000 loss 0.07603 (594s)
step 9500 loss 0.05749 (625s)
step 10000 loss 0.05225 (655s)
step 10500 loss 0.05683 (686s)
step 11000 loss 0.06227 (716s)
step 11500 loss 0.06713 (747s)
step 12000 loss 0.06810 (769s)
step 12500 loss 0.05527 (792s)
step 13000 loss 0.05770 (815s)
step 13500 loss 0.06483 (838s)
step 14000 loss 0.06191 (861s)
step 14500 loss 0.07070 (884s)
step 15000 loss 0.06585 (906s)
step 15500 loss 0.06046 (929s)
step 16000 loss 0.08133 (952s)
step 16500 loss 0.05853 (975s)
step 17000 loss 0.04823 (998s)
step 17500 loss 0.05773 (1021s)
step 18000 loss 0.06217 (1044s)
