UNetCond params: 1.44M, chs=(32, 64, 128)
/mnt/home/tersenov/software/tilt-audit/tilt_audit/fields.py:89: UserWarning: Explicitly requested dtype complex128 requested in zeros is not available, and will be truncated to dtype complex64. To enable more dtypes, set the jax_enable_x64 configuration option or the JAX_ENABLE_X64 shell environment variable. See https://github.com/jax-ml/jax#current-gotchas for more.
  Xf = jnp.zeros((*z.shape[:-1], n * n), dtype=jnp.complex128)
/mnt/home/tersenov/software/tilt-audit/.venv/lib/python3.12/site-packages/jax/_src/numpy/array_methods.py:125: UserWarning: Explicitly requested dtype complex128 requested in astype is not available, and will be truncated to dtype complex64. To enable more dtypes, set the jax_enable_x64 configuration option or the JAX_ENABLE_X64 shell environment variable. See https://github.com/jax-ml/jax#current-gotchas for more.
  return lax_numpy.astype(self, dtype, copy=copy, device=device)
E0703 22:33:12.651577 1284331 cuda_timer.cc:88] Delay kernel timed out: measured time has sub-optimal accuracy. There may be a missing warmup execution, please investigate in Nsight Systems.
step 0 loss 5.00504 (43s)
step 500 loss 0.14480 (98s)
step 1000 loss 0.07318 (155s)
step 1500 loss 0.07292 (213s)
step 2000 loss 0.06827 (272s)
step 2500 loss 0.06487 (330s)
step 3000 loss 0.10381 (390s)
step 3500 loss 0.07662 (449s)
step 4000 loss 0.05758 (508s)
step 4500 loss 0.06966 (568s)
step 5000 loss 0.05167 (627s)
step 5500 loss 0.05354 (684s)
step 6000 loss 0.07765 (741s)
step 6500 loss 0.06343 (785s)
step 7000 loss 0.07320 (828s)
step 7500 loss 0.05969 (872s)
step 8000 loss 0.07328 (915s)
step 8500 loss 0.10016 (959s)
step 9000 loss 0.07581 (1003s)
step 9500 loss 0.05744 (1046s)
step 10000 loss 0.05231 (1089s)
step 10500 loss 0.05674 (1132s)
step 11000 loss 0.06225 (1175s)
step 11500 loss 0.06670 (1218s)
step 12000 loss 0.06808 (1261s)
step 12500 loss 0.05518 (1304s)
step 13000 loss 0.05763 (1347s)
step 13500 loss 0.06467 (1391s)
step 14000 loss 0.06189 (1434s)
step 14500 loss 0.07081 (1477s)
done in 25.3 min; final loss 0.06462; saved checkpoints/cond_quarter.pkl
