[t1] 32x32 shift=0.5 N=16 seed=10 oracle: W2=1.911 KL=65.4 g*=0.963 (0.3s)
[t1] 32x32 shift=0.5 N=16 seed=10 dps: W2=2.724 KL=209.5 g*=1.38 (0.8s)
[t1] 32x32 shift=0.5 N=16 seed=10 exact_guidance: W2=1.936 KL=200.3 g*=1.01 (0.9s)
[t1] 32x32 shift=0.5 N=16 seed=11 oracle: W2=1.896 KL=68.29 g*=0.994 (0.0s)
[t1] 32x32 shift=0.5 N=16 seed=11 dps: W2=2.667 KL=203.4 g*=1.4 (0.0s)
[t1] 32x32 shift=0.5 N=16 seed=11 exact_guidance: W2=1.938 KL=192.6 g*=0.992 (0.0s)
[t1] 32x32 shift=0.5 N=16 seed=12 oracle: W2=1.986 KL=70.58 g*=1.01 (0.0s)
[t1] 32x32 shift=0.5 N=16 seed=12 dps: W2=2.791 KL=216.9 g*=1.42 (0.0s)
[t1] 32x32 shift=0.5 N=16 seed=12 exact_guidance: W2=1.885 KL=182.1 g*=0.996 (0.0s)
[t1] 32x32 shift=0.5 N=16 seed=13 oracle: W2=1.816 KL=69.6 g*=0.966 (0.0s)
[t1] 32x32 shift=0.5 N=16 seed=13 dps: W2=2.753 KL=205.5 g*=1.38 (0.0s)
[t1] 32x32 shift=0.5 N=16 seed=13 exact_guidance: W2=1.896 KL=207.4 g*=1.02 (0.0s)
[t1] 32x32 shift=1.0 N=16 seed=10 oracle: W2=1.33 KL=71.08 g*=0.99 (0.0s)
[t1] 32x32 shift=1.0 N=16 seed=10 dps: W2=2.497 KL=266.4 g*=1.36 (0.0s)
[t1] 32x32 shift=1.0 N=16 seed=10 exact_guidance: W2=1.352 KL=200.1 g*=0.997 (0.0s)
[t1] 32x32 shift=1.0 N=16 seed=11 oracle: W2=1.284 KL=66.25 g*=0.992 (0.0s)
[t1] 32x32 shift=1.0 N=16 seed=11 dps: W2=2.569 KL=252.8 g*=1.36 (0.0s)
[t1] 32x32 shift=1.0 N=16 seed=11 exact_guidance: W2=1.397 KL=198.6 g*=1 (0.0s)
[t1] 32x32 shift=1.0 N=16 seed=12 oracle: W2=1.318 KL=69.48 g*=0.998 (0.0s)
[t1] 32x32 shift=1.0 N=16 seed=12 dps: W2=2.556 KL=261.9 g*=1.36 (0.0s)
[t1] 32x32 shift=1.0 N=16 seed=12 exact_guidance: W2=1.376 KL=201.2 g*=1.01 (0.0s)
[t1] 32x32 shift=1.0 N=16 seed=13 oracle: W2=1.349 KL=71.33 g*=0.995 (0.0s)
[t1] 32x32 shift=1.0 N=16 seed=13 dps: W2=2.567 KL=262.1 g*=1.37 (0.0s)
[t1] 32x32 shift=1.0 N=16 seed=13 exact_guidance: W2=1.382 KL=203.2 g*=0.983 (0.0s)
[t1] 64x64 shift=0.5 N=16 seed=10 oracle: W2=2.926 KL=274.4 g*=1 (0.6s)
[t1] 64x64 shift=0.5 N=16 seed=10 dps: W2=4.568 KL=1828 g*=1.39 (1.0s)
[t1] 64x64 shift=0.5 N=16 seed=10 exact_guidance: W2=3.093 KL=1730 g*=1 (1.0s)
[t1] 64x64 shift=0.5 N=16 seed=11 oracle: W2=2.946 KL=272.6 g*=1.01 (0.0s)
[t1] 64x64 shift=0.5 N=16 seed=11 dps: W2=4.496 KL=1781 g*=1.37 (0.0s)
[t1] 64x64 shift=0.5 N=16 seed=11 exact_guidance: W2=3.081 KL=1753 g*=0.994 (0.0s)
[t1] 64x64 shift=0.5 N=16 seed=12 oracle: W2=2.854 KL=271.7 g*=1.01 (0.0s)
[t1] 64x64 shift=0.5 N=16 seed=12 dps: W2=4.559 KL=1836 g*=1.38 (0.0s)
[t1] 64x64 shift=0.5 N=16 seed=12 exact_guidance: W2=3.109 KL=1724 g*=0.998 (0.0s)
[t1] 64x64 shift=0.5 N=16 seed=13 oracle: W2=2.931 KL=275.3 g*=1.02 (0.0s)
[t1] 64x64 shift=0.5 N=16 seed=13 dps: W2=4.493 KL=1848 g*=1.39 (0.0s)
[t1] 64x64 shift=0.5 N=16 seed=13 exact_guidance: W2=3.102 KL=1727 g*=1.01 (0.0s)
[t1] 64x64 shift=1.0 N=16 seed=10 oracle: W2=2.042 KL=274.6 g*=0.994 (0.0s)
[t1] 64x64 shift=1.0 N=16 seed=10 dps: W2=4.233 KL=2022 g*=1.33 (0.0s)
[t1] 64x64 shift=1.0 N=16 seed=10 exact_guidance: W2=2.299 KL=1715 g*=0.996 (0.0s)
[t1] 64x64 shift=1.0 N=16 seed=11 oracle: W2=2.015 KL=269 g*=1 (0.0s)
[t1] 64x64 shift=1.0 N=16 seed=11 dps: W2=4.219 KL=1999 g*=1.33 (0.0s)
[t1] 64x64 shift=1.0 N=16 seed=11 exact_guidance: W2=2.224 KL=1669 g*=1 (0.0s)
[t1] 64x64 shift=1.0 N=16 seed=12 oracle: W2=2.069 KL=272.6 g*=1.01 (0.0s)
[t1] 64x64 shift=1.0 N=16 seed=12 dps: W2=4.233 KL=2012 g*=1.33 (0.0s)
[t1] 64x64 shift=1.0 N=16 seed=12 exact_guidance: W2=2.295 KL=1702 g*=0.993 (0.0s)
[t1] 64x64 shift=1.0 N=16 seed=13 oracle: W2=2.028 KL=270.6 g*=0.999 (0.0s)
[t1] 64x64 shift=1.0 N=16 seed=13 dps: W2=4.243 KL=1946 g*=1.32 (0.0s)
[t1] 64x64 shift=1.0 N=16 seed=13 exact_guidance: W2=2.295 KL=1720 g*=0.998 (0.0s)
