UNet params: 1.44M, eps=0.0
/mnt/home/tersenov/software/tilt-audit/tilt_audit/fields.py:89: UserWarning: Explicitly requested dtype complex128 requested in zeros is not available, and will be truncated to dtype complex64. To enable more dtypes, set the jax_enable_x64 configuration option or the JAX_ENABLE_X64 shell environment variable. See https://github.com/jax-ml/jax#current-gotchas for more.
  Xf = jnp.zeros((*z.shape[:-1], n * n), dtype=jnp.complex128)
/mnt/home/tersenov/software/tilt-audit/.venv/lib/python3.12/site-packages/jax/_src/numpy/array_methods.py:125: UserWarning: Explicitly requested dtype complex128 requested in astype is not available, and will be truncated to dtype complex64. To enable more dtypes, set the jax_enable_x64 configuration option or the JAX_ENABLE_X64 shell environment variable. See https://github.com/jax-ml/jax#current-gotchas for more.
  return lax_numpy.astype(self, dtype, copy=copy, device=device)
E0703 00:06:38.459108  810826 cuda_timer.cc:88] Delay kernel timed out: measured time has sub-optimal accuracy. There may be a missing warmup execution, please investigate in Nsight Systems.
E0703 00:06:39.050679  810826 cuda_timer.cc:88] Delay kernel timed out: measured time has sub-optimal accuracy. There may be a missing warmup execution, please investigate in Nsight Systems.
step 0 loss 4.93214 (72s)
step 500 loss 0.10318 (130s)
step 1000 loss 0.09137 (190s)
step 1500 loss 0.09364 (250s)
step 2000 loss 0.11080 (296s)
step 2500 loss 0.08038 (342s)
step 3000 loss 0.08187 (388s)
step 3500 loss 0.10152 (434s)
step 4000 loss 0.08441 (480s)
step 4500 loss 0.09971 (526s)
step 5000 loss 0.07834 (572s)
step 5500 loss 0.07417 (618s)
step 6000 loss 0.06951 (664s)
step 6500 loss 0.07081 (710s)
step 7000 loss 0.08996 (757s)
step 7500 loss 0.08546 (803s)
step 8000 loss 0.10181 (849s)
step 8500 loss 0.07941 (895s)
step 9000 loss 0.08821 (941s)
step 9500 loss 0.07635 (987s)
step 10000 loss 0.08273 (1033s)
step 10500 loss 0.07162 (1079s)
step 11000 loss 0.06677 (1125s)
step 11500 loss 0.08132 (1171s)
step 12000 loss 0.08008 (1217s)
step 12500 loss 0.06100 (1263s)
step 13000 loss 0.09196 (1309s)
step 13500 loss 0.05636 (1356s)
step 14000 loss 0.10490 (1402s)
step 14500 loss 0.08964 (1448s)
step 15000 loss 0.08236 (1494s)
step 15500 loss 0.07853 (1540s)
step 16000 loss 0.08404 (1586s)
