UNet params: 1.44M, eps=-0.3
/mnt/home/tersenov/software/tilt-audit/tilt_audit/fields.py:89: UserWarning: Explicitly requested dtype complex128 requested in zeros is not available, and will be truncated to dtype complex64. To enable more dtypes, set the jax_enable_x64 configuration option or the JAX_ENABLE_X64 shell environment variable. See https://github.com/jax-ml/jax#current-gotchas for more.
  Xf = jnp.zeros((*z.shape[:-1], n * n), dtype=jnp.complex128)
/mnt/home/tersenov/software/tilt-audit/.venv/lib/python3.12/site-packages/jax/_src/numpy/array_methods.py:125: UserWarning: Explicitly requested dtype complex128 requested in astype is not available, and will be truncated to dtype complex64. To enable more dtypes, set the jax_enable_x64 configuration option or the JAX_ENABLE_X64 shell environment variable. See https://github.com/jax-ml/jax#current-gotchas for more.
  return lax_numpy.astype(self, dtype, copy=copy, device=device)
E0703 00:06:39.204591  811071 cuda_timer.cc:88] Delay kernel timed out: measured time has sub-optimal accuracy. There may be a missing warmup execution, please investigate in Nsight Systems.
E0703 00:06:39.498893  811071 cuda_timer.cc:88] Delay kernel timed out: measured time has sub-optimal accuracy. There may be a missing warmup execution, please investigate in Nsight Systems.
step 0 loss 5.37661 (75s)
step 500 loss 0.09599 (132s)
step 1000 loss 0.08391 (190s)
step 1500 loss 0.08460 (248s)
step 2000 loss 0.10043 (293s)
step 2500 loss 0.07256 (337s)
step 3000 loss 0.07394 (382s)
step 3500 loss 0.09135 (426s)
step 4000 loss 0.07512 (470s)
step 4500 loss 0.08925 (515s)
step 5000 loss 0.06999 (559s)
step 5500 loss 0.06632 (604s)
step 6000 loss 0.06229 (648s)
step 6500 loss 0.06350 (692s)
step 7000 loss 0.08013 (737s)
step 7500 loss 0.07624 (781s)
step 8000 loss 0.09033 (826s)
step 8500 loss 0.07086 (870s)
step 9000 loss 0.07875 (915s)
step 9500 loss 0.06861 (959s)
step 10000 loss 0.07388 (1003s)
step 10500 loss 0.06388 (1048s)
step 11000 loss 0.05990 (1092s)
step 11500 loss 0.07265 (1137s)
step 12000 loss 0.07139 (1181s)
step 12500 loss 0.05491 (1226s)
step 13000 loss 0.08189 (1270s)
step 13500 loss 0.05075 (1314s)
step 14000 loss 0.09321 (1359s)
step 14500 loss 0.08009 (1403s)
step 15000 loss 0.07346 (1448s)
step 15500 loss 0.06994 (1492s)
step 16000 loss 0.07500 (1537s)
step 16500 loss 0.06274 (1581s)
step 17000 loss 0.07602 (1626s)
step 17500 loss 0.08320 (1670s)
step 18000 loss 0.08851 (1715s)
step 18500 loss 0.08444 (1759s)
step 19000 loss 0.06549 (1804s)
step 19500 loss 0.07485 (1848s)
step 20000 loss 0.07229 (1892s)
step 20500 loss 0.06627 (1937s)
step 21000 loss 0.07402 (1981s)
step 21500 loss 0.06674 (2026s)
step 22000 loss 0.07511 (2070s)
step 22500 loss 0.07353 (2114s)
step 23000 loss 0.07662 (2159s)
step 23500 loss 0.07281 (2203s)
step 24000 loss 0.07840 (2248s)
step 24500 loss 0.07686 (2292s)
step 25000 loss 0.06712 (2337s)
step 25500 loss 0.08084 (2381s)
step 26000 loss 0.06794 (2425s)
step 26500 loss 0.08031 (2470s)
step 27000 loss 0.05559 (2514s)
step 27500 loss 0.07400 (2559s)
step 28000 loss 0.06455 (2603s)
step 28500 loss 0.08554 (2648s)
step 29000 loss 0.07881 (2692s)
step 29500 loss 0.06171 (2737s)
step 30000 loss 0.07985 (2781s)
step 30500 loss 0.07714 (2825s)
step 31000 loss 0.05671 (2870s)
step 31500 loss 0.08023 (2914s)
step 32000 loss 0.05630 (2959s)
step 32500 loss 0.06549 (3003s)
step 33000 loss 0.06835 (3048s)
step 33500 loss 0.08380 (3092s)
step 34000 loss 0.07193 (3137s)
step 34500 loss 0.07531 (3181s)
step 35000 loss 0.07185 (3225s)
step 35500 loss 0.06517 (3270s)
step 36000 loss 0.06960 (3314s)
step 36500 loss 0.08524 (3359s)
step 37000 loss 0.08310 (3403s)
step 37500 loss 0.05614 (3447s)
step 38000 loss 0.06441 (3492s)
step 38500 loss 0.08052 (3536s)
step 39000 loss 0.07242 (3581s)
step 39500 loss 0.07742 (3625s)
step 40000 loss 0.07046 (3670s)
step 40500 loss 0.07467 (3714s)
step 41000 loss 0.05575 (3758s)
step 41500 loss 0.06200 (3803s)
step 42000 loss 0.06161 (3847s)
step 42500 loss 0.07706 (3892s)
step 43000 loss 0.08054 (3936s)
step 43500 loss 0.06865 (3981s)
step 44000 loss 0.05595 (4025s)
step 44500 loss 0.06097 (4070s)
step 45000 loss 0.08001 (4114s)
step 45500 loss 0.06710 (4158s)
step 46000 loss 0.08562 (4203s)
step 46500 loss 0.07980 (4247s)
step 47000 loss 0.05872 (4292s)
step 47500 loss 0.08118 (4336s)
step 48000 loss 0.07661 (4381s)
step 48500 loss 0.06479 (4425s)
step 49000 loss 0.06567 (4470s)
step 49500 loss 0.06848 (4514s)
step 50000 loss 0.06896 (4559s)
step 50500 loss 0.06785 (4603s)
step 51000 loss 0.06494 (4647s)
step 51500 loss 0.09026 (4692s)
step 52000 loss 0.07157 (4736s)
step 52500 loss 0.07386 (4781s)
step 53000 loss 0.06748 (4825s)
step 53500 loss 0.07154 (4870s)
step 54000 loss 0.07404 (4914s)
step 54500 loss 0.07369 (4958s)
step 55000 loss 0.07976 (5003s)
step 55500 loss 0.07468 (5047s)
step 56000 loss 0.08170 (5092s)
step 56500 loss 0.07967 (5136s)
step 57000 loss 0.08042 (5180s)
step 57500 loss 0.08359 (5225s)
step 58000 loss 0.08328 (5269s)
step 58500 loss 0.08619 (5314s)
step 59000 loss 0.06319 (5358s)
step 59500 loss 0.07039 (5402s)
done in 90.8 min; final loss 0.07013; saved checkpoints/s_mis_m03.pkl
