UNet params: 1.44M, eps=0.3
/mnt/home/tersenov/software/tilt-audit/tilt_audit/fields.py:89: UserWarning: Explicitly requested dtype complex128 requested in zeros is not available, and will be truncated to dtype complex64. To enable more dtypes, set the jax_enable_x64 configuration option or the JAX_ENABLE_X64 shell environment variable. See https://github.com/jax-ml/jax#current-gotchas for more.
  Xf = jnp.zeros((*z.shape[:-1], n * n), dtype=jnp.complex128)
/mnt/home/tersenov/software/tilt-audit/.venv/lib/python3.12/site-packages/jax/_src/numpy/array_methods.py:125: UserWarning: Explicitly requested dtype complex128 requested in astype is not available, and will be truncated to dtype complex64. To enable more dtypes, set the jax_enable_x64 configuration option or the JAX_ENABLE_X64 shell environment variable. See https://github.com/jax-ml/jax#current-gotchas for more.
  return lax_numpy.astype(self, dtype, copy=copy, device=device)
E0703 00:06:38.406223  810857 cuda_timer.cc:88] Delay kernel timed out: measured time has sub-optimal accuracy. There may be a missing warmup execution, please investigate in Nsight Systems.
step 0 loss 4.56438 (72s)
step 500 loss 0.11325 (130s)
step 1000 loss 0.10136 (190s)
step 1500 loss 0.10486 (250s)
step 2000 loss 0.12526 (297s)
step 2500 loss 0.09041 (342s)
step 3000 loss 0.09275 (389s)
step 3500 loss 0.11392 (435s)
step 4000 loss 0.09444 (481s)
step 4500 loss 0.11221 (527s)
step 5000 loss 0.08866 (573s)
step 5500 loss 0.08378 (620s)
step 6000 loss 0.07860 (666s)
step 6500 loss 0.07952 (712s)
step 7000 loss 0.10212 (759s)
step 7500 loss 0.09646 (805s)
step 8000 loss 0.11567 (851s)
step 8500 loss 0.08975 (898s)
step 9000 loss 0.09981 (944s)
step 9500 loss 0.08580 (990s)
step 10000 loss 0.09361 (1036s)
step 10500 loss 0.08108 (1083s)
step 11000 loss 0.07543 (1129s)
step 11500 loss 0.09195 (1175s)
step 12000 loss 0.09056 (1222s)
step 12500 loss 0.06868 (1268s)
step 13000 loss 0.10414 (1314s)
step 13500 loss 0.06343 (1361s)
step 14000 loss 0.11910 (1407s)
step 14500 loss 0.10120 (1453s)
step 15000 loss 0.09314 (1500s)
step 15500 loss 0.08903 (1546s)
step 16000 loss 0.09507 (1592s)
step 16500 loss 0.07915 (1639s)
step 17000 loss 0.09653 (1685s)
step 17500 loss 0.10655 (1731s)
step 18000 loss 0.11253 (1778s)
step 18500 loss 0.10672 (1824s)
step 19000 loss 0.08226 (1870s)
step 19500 loss 0.09461 (1917s)
step 20000 loss 0.09164 (1963s)
step 20500 loss 0.08368 (2009s)
step 21000 loss 0.09371 (2055s)
step 21500 loss 0.08457 (2102s)
step 22000 loss 0.09531 (2148s)
step 22500 loss 0.09363 (2194s)
step 23000 loss 0.09813 (2241s)
step 23500 loss 0.09283 (2287s)
step 24000 loss 0.09977 (2333s)
step 24500 loss 0.09798 (2380s)
step 25000 loss 0.08602 (2426s)
step 25500 loss 0.10302 (2472s)
step 26000 loss 0.08602 (2518s)
step 26500 loss 0.10143 (2565s)
step 27000 loss 0.07020 (2611s)
step 27500 loss 0.09425 (2658s)
step 28000 loss 0.08172 (2704s)
step 28500 loss 0.10939 (2750s)
step 29000 loss 0.09978 (2796s)
step 29500 loss 0.07821 (2843s)
step 30000 loss 0.10189 (2889s)
step 30500 loss 0.09793 (2936s)
step 31000 loss 0.07112 (2982s)
step 31500 loss 0.10169 (3028s)
step 32000 loss 0.07099 (3074s)
step 32500 loss 0.08316 (3121s)
step 33000 loss 0.08666 (3167s)
step 33500 loss 0.10766 (3213s)
step 34000 loss 0.09135 (3259s)
step 34500 loss 0.09606 (3306s)
step 35000 loss 0.09136 (3352s)
step 35500 loss 0.08277 (3398s)
step 36000 loss 0.08810 (3445s)
step 36500 loss 0.10850 (3491s)
step 37000 loss 0.10533 (3537s)
step 37500 loss 0.07044 (3583s)
step 38000 loss 0.08242 (3630s)
step 38500 loss 0.10342 (3676s)
step 39000 loss 0.09231 (3722s)
step 39500 loss 0.09934 (3769s)
step 40000 loss 0.08964 (3815s)
step 40500 loss 0.09546 (3861s)
step 41000 loss 0.07032 (3907s)
step 41500 loss 0.07909 (3954s)
step 42000 loss 0.07855 (4000s)
step 42500 loss 0.09811 (4047s)
step 43000 loss 0.10303 (4093s)
step 43500 loss 0.08703 (4139s)
step 44000 loss 0.07016 (4186s)
step 44500 loss 0.07729 (4232s)
step 45000 loss 0.10277 (4278s)
step 45500 loss 0.08459 (4325s)
step 46000 loss 0.10951 (4371s)
step 46500 loss 0.10159 (4417s)
step 47000 loss 0.07466 (4464s)
step 47500 loss 0.10326 (4510s)
step 48000 loss 0.09799 (4556s)
step 48500 loss 0.08224 (4603s)
step 49000 loss 0.08298 (4649s)
step 49500 loss 0.08696 (4695s)
step 50000 loss 0.08784 (4741s)
step 50500 loss 0.08640 (4788s)
step 51000 loss 0.08282 (4834s)
step 51500 loss 0.11526 (4880s)
step 52000 loss 0.09146 (4927s)
step 52500 loss 0.09460 (4973s)
step 53000 loss 0.08613 (5019s)
step 53500 loss 0.09083 (5065s)
step 54000 loss 0.09381 (5112s)
step 54500 loss 0.09371 (5158s)
step 55000 loss 0.10227 (5204s)
step 55500 loss 0.09503 (5250s)
step 56000 loss 0.10435 (5297s)
step 56500 loss 0.10201 (5343s)
step 57000 loss 0.10146 (5389s)
step 57500 loss 0.10631 (5436s)
step 58000 loss 0.10602 (5471s)
step 58500 loss 0.11026 (5502s)
step 59000 loss 0.08035 (5534s)
step 59500 loss 0.08979 (5566s)
done in 93.2 min; final loss 0.08946; saved checkpoints/s_mis_p03.pkl
