23:20 0, 0 %, 555 MiB 1, 0 %, 4 MiB 2, 0 %, 4 MiB 3, 17 %, 1737 MiB 
23:35 0, 100 %, 6999 MiB 1, 0 %, 0 MiB 2, 0 %, 0 MiB 3, 7 %, 1567 MiB 
23:50 0, 100 %, 7549 MiB 1, 86 %, 1541 MiB 2, 12 %, 4053 MiB 3, 14 %, 1737 MiB 
00:05 0, 100 %, 38325 MiB 1, 100 %, 1411 MiB 2, 5 %, 1135 MiB 3, 16 %, 2161 MiB 
00:20 0, 100 %, 38325 MiB 1, 0 %, 1407 MiB 2, 0 %, 427 MiB 3, 15 %, 2161 MiB 
00:35 0, 0 %, 30779 MiB 1, 100 %, 1039 MiB 2, 86 %, 1963 MiB 3, 17 %, 2161 MiB 
00:50 0, 0 %, 31329 MiB 1, 0 %, 1407 MiB 2, 0 %, 1401 MiB 3, 16 %, 2161 MiB 
01:05 0, 29 %, 9195 MiB 1, 100 %, 6999 MiB 2, 100 %, 983 MiB 3, 15 %, 1737 MiB 
01:20 0, 70 %, 16859 MiB 1, 100 %, 6999 MiB 2, 0 %, 2577 MiB 3, 12 %, 1737 MiB 
01:35 0, 93 %, 17435 MiB 1, 0 %, 4 MiB 2, 0 %, 4 MiB 3, 17 %, 1737 MiB 
01:50 0, 0 %, 1537 MiB 1, 94 %, 16885 MiB 2, 0 %, 4 MiB 3, 0 %, 701 MiB 
02:05 0, 6 %, 1263 MiB 1, 0 %, 4 MiB 2, 0 %, 4 MiB 3, 8 %, 871 MiB 
02:20 0, 0 %, 0 MiB 1, 0 %, 0 MiB 2, 0 %, 0 MiB 3, 8 %, 871 MiB 
02:35 0, 0 %, 555 MiB 1, 0 %, 4 MiB 2, 0 %, 4 MiB 3, 9 %, 871 MiB 
02:50 0, 0 %, 555 MiB 1, 0 %, 4 MiB 2, 0 %, 4 MiB 3, 7 %, 871 MiB 
03:05 0, 0 %, 0 MiB 1, 0 %, 0 MiB 2, 0 %, 0 MiB 3, 8 %, 871 MiB 
03:20 0, 0 %, 555 MiB 1, 0 %, 4 MiB 2, 0 %, 4 MiB 3, 8 %, 871 MiB 
03:35 0, 0 %, 555 MiB 1, 0 %, 4 MiB 2, 0 %, 4 MiB 3, 8 %, 871 MiB 
03:50 0, 0 %, 555 MiB 1, 0 %, 4 MiB 2, 0 %, 4 MiB 3, 15 %, 871 MiB 
04:05 0, 0 %, 0 MiB 1, 0 %, 0 MiB 2, 0 %, 0 MiB 3, 8 %, 871 MiB 
04:20 0, 0 %, 555 MiB 1, 0 %, 4 MiB 2, 0 %, 4 MiB 3, 8 %, 871 MiB 
04:35 0, 0 %, 555 MiB 1, 0 %, 4 MiB 2, 0 %, 4 MiB 3, 8 %, 871 MiB 
04:50 0, 0 %, 0 MiB 1, 0 %, 0 MiB 2, 0 %, 0 MiB 3, 8 %, 871 MiB 
05:05 0, 0 %, 555 MiB 1, 0 %, 4 MiB 2, 0 %, 4 MiB 3, 11 %, 871 MiB 
05:20 0, 0 %, 555 MiB 1, 0 %, 4 MiB 2, 0 %, 4 MiB 3, 8 %, 871 MiB 
05:35 0, 0 %, 555 MiB 1, 0 %, 4 MiB 2, 0 %, 4 MiB 3, 8 %, 871 MiB 
05:50 0, 0 %, 0 MiB 1, 0 %, 0 MiB 2, 0 %, 0 MiB 3, 8 %, 871 MiB 
06:05 0, 0 %, 555 MiB 1, 0 %, 4 MiB 2, 0 %, 4 MiB 3, 13 %, 871 MiB 
06:20 0, 0 %, 555 MiB 1, 0 %, 4 MiB 2, 0 %, 4 MiB 3, 8 %, 871 MiB 
06:35 0, 0 %, 0 MiB 1, 0 %, 0 MiB 2, 0 %, 0 MiB 3, 8 %, 871 MiB 
06:50 0, 0 %, 555 MiB 1, 0 %, 4 MiB 2, 0 %, 4 MiB 3, 8 %, 871 MiB 
07:05 0, 0 %, 555 MiB 1, 0 %, 4 MiB 2, 0 %, 4 MiB 3, 0 %, 4 MiB 
07:20 0, 0 %, 555 MiB 1, 0 %, 4 MiB 2, 0 %, 4 MiB 3, 0 %, 4 MiB 
07:35 0, 0 %, 0 MiB 1, 0 %, 0 MiB 2, 0 %, 0 MiB 3, 0 %, 0 MiB 
07:50 0, 0 %, 555 MiB 1, 0 %, 4 MiB 2, 0 %, 4 MiB 3, 0 %, 4 MiB 
08:05 0, 0 %, 555 MiB 1, 0 %, 4 MiB 2, 0 %, 4 MiB 3, 0 %, 4 MiB 
